City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
194,Tezu,IN,2020-07-19 12:40:55,27.92,96.17,74.95,87,100,4.32
195,Bojnurd,IR,2020-07-19 12:40:56,37.47,57.33,95.0,14,20,6.93
196,Terra Santa,BR,2020-07-19 12:40:56,-2.1,-56.49,84.13,61,0,4.7
197,New Norfolk,AU,2020-07-19 12:40:56,-42.78,147.06,48.2,66,20,19.46
198,Kodiak,US,2020-07-19 12:40:56,57.79,-152.41,55.4,93,90,9.17
199,Torbay,CA,2020-07-19 12:40:56,47.67,-52.73,66.99,77,20,18.34
200,Tres Arroyos,AR,2020-07-19 12:37:02,-38.37,-60.28,53.74,66,0,8.05
201,Sao Filipe,CV,2020-07-19 12:40:57,14.9,-24.5,77.95,73,99,3.65
202,Lhokseumawe,ID,2020-07-19 12:40:57,5.18,97.15,81.43,78,25,0.76
203,Kashmor,PK,2020-07-19 12:40:57,28.43,69.58,111.42,23,7,17.25
204,Priladozhskiy,RU,2020-07-19 12:40:57,59.85,31.48,75.99,46,70,5.73
205,Souillac,MU,2020-07-19 12:40:57,-20.52,57.52,71.6,64,75,13.87
206,Bengkulu,ID,2020-07-19 12:40:58,-3.8,102.27,79.16,87,28,8.46
207,Iracoubo,GF,2020-07-19 12:40:58,5.48,-53.2,82.6,71,10,8.32
208,Dikson,RU,2020-07-19 12:40:58,73.51,80.55,41.22,91,69,11.61
209,Lynchburg,US,2020-07-19 12:39:49,37.41,-79.14,81.0,78,1,3.36
210,Marsa Matruh,EG,2020-07-19 12:40:58,31.35,27.25,83.88,49,0,12.24
211,Saint Marys,US,2020-07-19 12:40:59,30.73,-81.55,82.0,71,1,2.71
212,Tuktoyaktuk,CA,2020-07-19 12:40:59,69.45,-133.04,38.48,90,100,7.02
213,Lancaster,US,2020-07-19 12:40:30,40.25,-76.25,78.01,78,1,3.11
214,Beloha,MG,2020-07-19 12:40:59,-25.17,45.05,73.71,50,0,13.53
215,Aswan,EG,2020-07-19 12:40:59,24.09,32.91,106.14,10,15,4.7
216,Bathsheba,BB,2020-07-19 12:40:59,13.22,-59.52,84.2,74,40,13.87
217,San Francisco,US,2020-07-19 12:39:56,37.77,-122.42,59.0,87,90,6.93
218,San Andres,CO,2020-07-19 12:41:00,12.58,-81.7,82.4,83,40,9.17
219,Buchanan,LR,2020-07-19 12:41:00,5.88,-10.05,77.0,94,75,9.08
220,Dong Hoi,VN,2020-07-19 12:40:06,17.48,106.6,83.88,75,91,9.8
221,Lisbon,PT,2020-07-19 12:40:40,38.72,-9.13,77.0,64,0,6.93
222,Ust-Nera,RU,2020-07-19 12:41:01,64.57,143.2,54.95,77,100,4.9
223,Ust-Kulom,RU,2020-07-19 12:41:01,61.69,53.69,75.6,46,5,8.63
224,Arraial Do Cabo,BR,2020-07-19 12:38:09,-22.97,-42.03,73.4,73,0,13.87
225,Okhotsk,RU,2020-07-19 12:41:02,59.38,143.3,53.96,92,100,6.33
226,Pout,SN,2020-07-19 12:41:02,14.77,-17.06,86.0,70,75,5.82
227,Prado,BR,2020-07-19 12:41:02,-17.34,-39.22,75.7,73,0,7.0
228,Nemuro,JP,2020-07-19 12:41:03,43.32,145.57,58.95,96,67,4.14
229,Fallon,US,2020-07-19 12:40:47,39.47,-118.78,73.4,35,1,8.05
230,Fairbanks,US,2020-07-19 12:41:03,64.84,-147.72,54.0,93,40,4.7
231,Omboue,GA,2020-07-19 12:41:03,-1.57,9.26,77.32,72,67,9.98
232,Kiruna,SE,2020-07-19 12:41:03,67.86,20.23,60.8,77,90,2.24
233,Sangre Grande,TT,2020-07-19 12:41:03,10.58,-61.12,80.01,88,20,9.44
234,Acarau,BR,2020-07-19 12:41:04,-2.89,-40.12,82.42,56,47,15.05
235,Cabinda,AO,2020-07-19 12:41:04,-5.55,12.2,78.8,74,40,6.93
236,Kloulklubed,PW,2020-07-19 12:41:04,7.04,134.26,80.6,83,75,8.95
237,Bambanglipuro,ID,2020-07-19 12:41:04,-7.95,110.28,77.09,83,60,10.76
238,Uyovu,TZ,2020-07-19 12:41:04,-3.28,31.53,85.08,24,0,7.54
239,Sydney,AU,2020-07-19 12:37:26,-33.87,151.21,59.0,54,0,11.41
240,San Francisco Del Mar,MX,2020-07-19 12:41:04,16.23,-94.65,79.99,78,100,14.0
241,Beringovskiy,RU,2020-07-19 12:41:05,63.05,179.32,44.74,88,31,9.66
242,Parainen,FI,2020-07-19 12:41:05,60.31,22.3,77.0,53,100,9.17
243,Diego De Almagro,CL,2020-07-19 12:41:05,-26.37,-70.05,63.97,27,63,3.15
244,Toamasina,MG,2020-07-19 12:37:36,-18.17,49.38,73.4,64,40,18.34
245,Kupang,ID,2020-07-19 12:40:40,-10.17,123.58,77.0,65,20,14.99
246,Wanning,CN,2020-07-19 12:41:05,18.8,110.4,82.58,84,100,11.3
247,Jalu,LY,2020-07-19 12:41:06,29.03,21.55,98.58,17,0,9.15
248,Nanortalik,GL,2020-07-19 12:41:06,60.14,-45.24,49.75,72,1,5.28
249,Vyshchetarasivka,UA,2020-07-19 12:41:06,47.57,34.88,84.2,35,0,8.95
250,Naze,JP,2020-07-19 12:41:06,28.37,129.48,82.4,88,0,4.7
251,Severo-Kurilsk,RU,2020-07-19 12:41:06,50.68,156.12,50.11,91,44,10.16
252,Castro,BR,2020-07-19 12:41:06,-24.79,-50.01,66.52,70,0,6.89
253,Marabba,SD,2020-07-19 12:41:07,12.35,32.18,75.9,69,100,17.9
254,Lebedinyy,RU,2020-07-19 12:41:07,58.52,125.52,63.97,72,95,7.0
255,Kirakira,SB,2020-07-19 12:41:07,-10.45,161.92,77.83,85,20,7.11
256,Srednekolymsk,RU,2020-07-19 12:41:07,67.45,153.68,61.14,70,0,6.8
257,Chegdomyn,RU,2020-07-19 12:41:07,51.12,133.02,72.12,73,100,5.7
258,Yulara,AU,2020-07-19 12:41:08,-25.24,130.99,55.67,73,100,15.23
259,Guerrero Negro,MX,2020-07-19 12:41:08,27.98,-114.06,66.09,90,0,8.39
260,Paita,PE,2020-07-19 12:41:08,-5.09,-81.11,62.35,84,54,12.33
261,Sorland,NO,2020-07-19 12:41:09,67.67,12.69,60.8,72,40,12.75
262,Senneterre,CA,2020-07-19 12:41:09,48.38,-77.23,68.0,100,75,5.82
263,Chivilcoy,AR,2020-07-19 12:41:09,-34.9,-60.02,55.0,98,100,4.0
264,Rio Gallegos,AR,2020-07-19 12:40:23,-51.62,-69.22,30.2,86,75,3.36
265,Blackfoot,US,2020-07-19 12:41:09,43.19,-112.34,60.01,40,1,11.41
266,Pevek,RU,2020-07-19 12:41:10,69.7,170.31,44.69,61,0,4.43
267,Nova Prata,BR,2020-07-19 12:41:10,-28.78,-51.61,67.05,75,0,5.95
268,Mogadishu,SO,2020-07-19 12:41:10,2.04,45.34,80.6,65,75,19.46
269,Keti Bandar,PK,2020-07-19 12:41:10,24.14,67.45,88.88,72,34,19.3
270,Kennett,US,2020-07-19 12:41:10,36.24,-90.06,80.01,100,1,5.64
271,Buraydah,SA,2020-07-19 12:41:10,26.33,43.98,113.0,15,0,18.34
272,Mantua,IT,2020-07-19 12:41:11,45.17,10.78,88.0,42,0,3.36
273,Lorengau,PG,2020-07-19 12:41:11,-2.02,147.27,80.98,73,2,6.4
274,Labuhan,ID,2020-07-19 12:41:11,-6.88,112.21,78.17,82,5,12.77
275,Chimore,BO,2020-07-19 12:41:11,-16.98,-65.13,76.75,69,94,1.7
276,Taoudenni,ML,2020-07-19 12:41:11,22.68,-3.98,115.03,8,0,11.23
277,Sawankhalok,TH,2020-07-19 12:41:11,17.32,99.83,84.52,72,100,4.36
278,Bure,ET,2020-07-19 12:41:12,10.7,37.07,57.43,95,100,3.13
279,Fushan,CN,2020-07-19 12:41:12,37.5,121.26,71.02,91,100,14.23
280,Upernavik,GL,2020-07-19 12:41:12,72.79,-56.15,48.4,57,74,1.79
281,Hithadhoo,MV,2020-07-19 12:41:12,-0.6,73.08,80.76,81,100,20.89
282,Angoche,MZ,2020-07-19 12:41:12,-16.23,39.91,77.07,61,0,10.58
283,Machiques,VE,2020-07-19 12:41:12,10.06,-72.55,80.29,77,99,2.53
284,San Quintin,MX,2020-07-19 12:41:12,30.48,-115.95,66.87,85,0,9.19
285,Xianyang,CN,2020-07-19 12:41:13,34.34,108.7,82.4,61,20,4.47
286,Kenai,US,2020-07-19 12:41:13,60.55,-151.26,55.4,87,90,6.93
287,Qiqihar,CN,2020-07-19 12:36:38,47.34,123.97,71.49,68,100,10.49
288,Fukue,JP,2020-07-19 12:41:13,32.69,128.84,79.34,90,100,18.23
289,Gazanjyk,TM,2020-07-19 12:41:13,39.24,55.52,108.0,11,0,11.32
290,Roald,NO,2020-07-19 12:41:13,62.58,6.13,64.99,62,40,11.41
291,Kharp,RU,2020-07-19 12:41:13,66.8,65.81,60.13,57,33,10.27
292,Fare,PF,2020-07-19 12:41:14,-16.7,-151.02,76.6,82,67,22.84
293,Cairns,AU,2020-07-19 12:41:14,-16.92,145.77,68.0,68,98,6.93
294,Bredasdorp,ZA,2020-07-19 12:41:14,-34.53,20.04,68.0,60,0,6.93
295,Saldanha,ZA,2020-07-19 12:41:14,-33.01,17.94,63.61,62,0,8.66
296,Liberal,US,2020-07-19 12:41:14,37.04,-100.92,69.8,88,40,10.29
297,Hualmay,PE,2020-07-19 12:41:14,-11.1,-77.61,60.19,78,80,7.34
298,Jacmel,HT,2020-07-19 12:41:15,18.23,-72.53,78.8,94,20,2.24
299,Grafton,US,2020-07-19 12:41:15,42.21,-71.69,78.01,73,1,9.17
300,Auki,SB,2020-07-19 12:41:15,-8.77,160.7,77.22,79,99,5.08
301,Poum,NC,2020-07-19 12:41:15,-20.23,164.02,70.74,64,0,12.73
302,Sioux Lookout,CA,2020-07-19 12:37:22,50.1,-91.92,60.8,93,90,12.75
303,Krasnoselkup,RU,2020-07-19 12:41:16,65.7,82.47,60.71,61,100,13.6
