City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
168,Troitsko-Pechorsk,RU,78.33,62.71,56.2,Pechora Gostinitsa
169,Katsuura,JP,75.99,35.13,140.3,Katsuura Hotel Mikazuki
172,Muncar,ID,80.91,-8.43,114.33,Zaky Homestay
182,Tautira,PF,77.0,-17.73,-149.15,Pension Oaoa
188,Makakilo City,US,78.8,21.35,-158.09,Marriott's Ko Olina Beach Club
192,Anahuac,MX,83.28,27.23,-100.15,Rancho Guadalupe
194,Kismayo,SO,80.29,-0.36,42.55,Agan-Hotel
198,Kurchum,KZ,77.99,48.57,83.65,
201,Bengkulu,ID,84.07,-3.8,102.27,Grage Hotel Bengkulu
202,Salalah,OM,82.4,17.02,54.09,HAMDAN PLAZA HOTEL
205,Yarmouth,US,77.0,41.71,-70.23,The Inn At Cape Cod
206,Sao Filipe,CV,78.96,14.9,-24.5,Tortuga B&B
218,Bira,RU,82.17,49.0,132.47,Gostitsa Edel'veys
220,Kassala,SD,83.75,15.45,36.4,Amassi Hotel Gash
222,Tselina,RU,75.67,46.53,41.03,Kristina
231,Seoul,KR,75.2,37.57,126.98,LOTTE HOTEL SEOUL
232,Dakar,SN,80.6,14.69,-17.44,Novotel Dakar
235,Zachary,US,79.0,30.65,-91.16,Holiday Inn Express & Suites Baton Rouge North
238,Kahului,US,80.6,20.89,-156.47,Maui Seaside Hotel
240,Pemangkat,ID,76.23,1.17,108.97,Kost H.Syamsuddin
253,Upata,VE,75.99,8.01,-62.4,Posada Villa Nela
255,Sinjai,ID,81.48,-5.12,120.25,Wisma Sandika
257,Labrea,BR,75.45,-7.26,-64.8,Hotel Novo Horizonte
260,Basoko,CD,75.2,1.24,23.62,Flat Hotel La Benediction
262,Naryan-Mar,RU,78.66,67.67,53.09,Hostel Agat
264,Faanui,PF,77.05,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
273,Bandarbeyla,SO,86.43,9.49,50.81,REER XOOSHLE GROUP
286,Galveston,US,86.0,29.37,-94.97,Comfort Inn & Suites Texas City
287,Filadelfia,US,75.2,39.95,-75.16,Loews Philadelphia Hotel
293,Bathsheba,BB,80.6,13.22,-59.52,Atlantis Hotel
294,Gwadar,PK,87.31,25.12,62.33,Sadaf Resort
295,Eyl,SO,84.0,7.98,49.82,Amiin Hotel
296,Khandyga,RU,80.28,62.67,135.6,Apel'sin
299,Cap Malheureux,MU,75.0,-19.98,57.61,Pereybere Hotel & Spa
308,Lithakia,GR,82.4,37.72,20.83,Zante Plaza Hotel & Apartments
309,Majene,ID,85.59,-3.54,118.97,Kost Putri RABBANI
310,Anshun,CN,76.98,26.25,105.93,安顺麦吉风格酒店
313,Boa Vista,BR,75.2,2.82,-60.67,Aipana Plaza Hotel
317,Finschhafen,PG,80.71,-6.6,147.87,Cossam Guest House
318,Cherskiy,RU,83.08,68.75,161.3,Gostinitsa
319,Kurtamysh,RU,75.43,54.91,64.43,
322,Pantai Remis,MY,87.8,4.46,100.63,Leisure Homestay
323,San Patricio,MX,77.81,19.22,-104.7,Hotel Cabo Blanco
